Sample,X,Y,Z
187,-0.1083984375,0.0014648438,0.8791503906
188,-0.1062011719,-0.0051269531,0.8696289062
189,-0.1103515625,0.0051269531,0.8818359375
190,-0.1093750000,0.0056152344,0.8740234375
191,-0.1152343750,-0.0075683594,0.8723144531
192,-0.1086425781,-0.0056152344,0.8718261719
193,-0.1132812500,-0.0017089844,0.8793945312
194,-0.1103515625,0.0009765625,0.8674316406
195,-0.1083984375,0.0000000000,0.8686523438
196,-0.1115722656,0.0009765625,0.8740234375
197,-0.1127929688,0.0073242188,0.8769531250
198,-0.1057128906,-0.0004882812,0.8691406250
199,-0.1132812500,0.0000000000,0.8789062500
200,-0.1113281250,0.0051269531,0.8796386719
201,-0.1135253906,0.0002441406,0.8789062500
202,-0.1220703125,0.0053710938,0.8732910156
203,-0.1098632812,0.0026855469,0.8657226562
204,-0.1149902344,0.0009765625,0.8762207031
205,-0.1113281250,-0.0031738281,0.8769531250
206,-0.1149902344,0.0053710938,0.8791503906
207,-0.1235351562,-0.0009765625,0.8703613281
208,-0.1140136719,0.0009765625,0.8728027344
209,-0.1179199219,0.0024414062,0.8713378906
210,-0.1186523438,0.0004882812,0.8674316406
211,-0.1188964844,-0.0029296875,0.8774414062
212,-0.1286621094,0.0021972656,0.8725585938
213,-0.1193847656,-0.0009765625,0.8747558594
214,-0.1164550781,0.0053710938,0.8657226562
215,-0.1169433594,-0.0029296875,0.8723144531
216,-0.1159667969,0.0029296875,0.8725585938
217,-0.1110839844,0.0043945312,0.8786621094
218,-0.1096191406,-0.0004882812,0.8745117188
219,-0.1137695312,-0.0021972656,0.8706054688
220,-0.1149902344,0.0017089844,0.8715820312
221,-0.1166992188,-0.0029296875,0.8781738281
222,-0.1083984375,-0.0024414062,0.8796386719
223,-0.1123046875,0.0004882812,0.8735351562
224,-0.1169433594,0.0031738281,0.8691406250
225,-0.1157226562,0.0036621094,0.8779296875
226,-0.1125488281,-0.0002441406,0.8723144531
227,-0.1142578125,-0.0019531250,0.8833007812
228,-0.1093750000,-0.0004882812,0.8771972656
229,-0.1086425781,-0.0029296875,0.8747558594
230,-0.1166992188,0.0017089844,0.8706054688
231,-0.1118164062,0.0004882812,0.8808593750
232,-0.1157226562,0.0036621094,0.8725585938
233,-0.1149902344,0.0002441406,0.8784179688
234,-0.1069335938,-0.0031738281,0.8776855469
235,-0.1118164062,-0.0004882812,0.8659667969
236,-0.1123046875,0.0026855469,0.8745117188
237,-0.1149902344,-0.0041503906,0.8725585938
238,-0.1105957031,-0.0036621094,0.8813476562
239,-0.1149902344,0.0070800781,0.8774414062
240,-0.1115722656,0.0007324219,0.8759765625
241,-0.1091308594,-0.0029296875,0.8784179688
242,-0.1123046875,0.0048828125,0.8740234375
243,-0.1164550781,-0.0065917969,0.8713378906
244,-0.1179199219,-0.0012207031,0.8723144531
245,-0.1069335938,0.0019531250,0.8771972656
246,-0.1159667969,0.0009765625,0.8713378906
247,-0.1135253906,-0.0002441406,0.8803710938
248,-0.1125488281,-0.0019531250,0.8713378906
249,-0.1184082031,0.0056152344,0.8813476562
250,-0.1127929688,0.0002441406,0.8728027344
251,-0.1164550781,0.0075683594,0.8693847656
252,-0.1123046875,0.0007324219,0.8830566406
253,-0.1132812500,0.0031738281,0.8825683594
254,-0.1125488281,-0.0021972656,0.8718261719
255,-0.1225585938,0.0021972656,0.8750000000
256,-0.1079101562,-0.0024414062,0.8791503906
257,-0.1184082031,-0.0012207031,0.8750000000
258,-0.1120605469,0.0000000000,0.8767089844
259,-0.1149902344,-0.0014648438,0.8815917969
260,-0.1091308594,0.0000000000,0.8762207031
261,-0.1069335938,0.0012207031,0.8752441406
262,-0.1132812500,-0.0041503906,0.8681640625
263,-0.1083984375,0.0029296875,0.8820800781
264,-0.1069335938,0.0014648438,0.8759765625
265,-0.1132812500,0.0012207031,0.8747558594
266,-0.1132812500,-0.0075683594,0.8786621094
267,-0.1137695312,-0.0051269531,0.8725585938
268,-0.1079101562,-0.0007324219,0.8784179688
269,-0.1159667969,0.0000000000,0.8713378906
270,-0.1105957031,0.0009765625,0.8754882812
271,-0.1096191406,0.0012207031,0.8828125000
272,-0.1142578125,0.0026855469,0.8811035156
273,-0.1105957031,-0.0004882812,0.8813476562
274,-0.1142578125,0.0041503906,0.8715820312
275,-0.1142578125,0.0000000000,0.8718261719
276,-0.1093750000,0.0046386719,0.8754882812
277,-0.1135253906,-0.0007324219,0.8833007812
278,-0.1145019531,0.0007324219,0.8713378906
279,-0.1118164062,0.0004882812,0.8759765625
280,-0.1169433594,-0.0029296875,0.8798828125
281,-0.1159667969,0.0000000000,0.8691406250
282,-0.1142578125,0.0026855469,0.8725585938
283,-0.1184082031,-0.0004882812,0.8737792969
284,-0.1120605469,0.0053710938,0.8847656250
285,-0.1149902344,-0.0012207031,0.8793945312
286,-0.1154785156,0.0078125000,0.8774414062
287,-0.1176757812,0.0007324219,0.8686523438
288,-0.1154785156,0.0004882812,0.8732910156
289,-0.1206054688,-0.0034179688,0.8764648438
290,-0.1154785156,-0.0007324219,0.8728027344
291,-0.1188964844,0.0017089844,0.8781738281
292,-0.1186523438,0.0021972656,0.8671875000
293,-0.1174316406,0.0034179688,0.8659667969
294,-0.1098632812,0.0004882812,0.8730468750
295,-0.1145019531,0.0004882812,0.8752441406
296,-0.1132812500,0.0053710938,0.8706054688
297,-0.1108398438,-0.0004882812,0.8762207031
298,-0.1164550781,0.0012207031,0.8796386719
299,-0.1135253906,-0.0021972656,0.8703613281
300,-0.1096191406,-0.0034179688,0.8742675781
301,-0.1118164062,0.0002441406,0.8747558594
302,-0.1108398438,0.0012207031,0.8706054688
303,-0.1169433594,0.0002441406,0.8737792969
304,-0.1115722656,0.0014648438,0.8842773438
305,-0.1076660156,0.0041503906,0.8740234375
306,-0.1127929688,0.0043945312,0.8708496094
307,-0.1081542969,0.0007324219,0.8742675781
308,-0.1169433594,-0.0002441406,0.8798828125
309,-0.1135253906,0.0024414062,0.8681640625
310,-0.1174316406,0.0034179688,0.8718261719
311,-0.1142578125,0.0043945312,0.8715820312
312,-0.1191406250,0.0034179688,0.8713378906
313,-0.1076660156,-0.0002441406,0.8754882812
314,-0.1154785156,0.0039062500,0.8764648438
315,-0.1174316406,0.0021972656,0.8784179688
316,-0.1179199219,-0.0026855469,0.8750000000
317,-0.1057128906,-0.0019531250,0.8781738281
318,-0.1132812500,0.0058593750,0.8725585938
