Sample,X,Y,Z
499,-0.1093750000,0.0051269531,0.8825683594
510,-0.1066894531,0.0021972656,0.8659667969
511,-0.1123046875,0.0051269531,0.8742675781
522,-0.1047363281,0.0039062500,0.8679199219
523,-0.1059570312,0.0083007812,0.8740234375
534,-0.1149902344,0.0034179688,0.8801269531
540,-0.1113281250,0.0068359375,0.8789062500
541,-0.1083984375,0.0036621094,0.8745117188
552,-0.1171875000,0.0043945312,0.8764648438
553,-0.1079101562,0.0080566406,0.8752441406
564,-0.1093750000,0.0075683594,0.8691406250
570,-0.1118164062,0.0048828125,0.8801269531
571,-0.1083984375,0.0065917969,0.8764648438
582,-0.1166992188,0.0090332031,0.8674316406
583,-0.1096191406,0.0002441406,0.8828125000
594,-0.1127929688,0.0068359375,0.8784179688
595,-0.1132812500,0.0019531250,0.8686523438
606,-0.1159667969,0.0051269531,0.8767089844
612,-0.1115722656,0.0053710938,0.8742675781
613,-0.1101074219,0.0031738281,0.8737792969
624,-0.1176757812,0.0075683594,0.8757324219
625,-0.1091308594,0.0031738281,0.8830566406
636,-0.1098632812,0.0085449219,0.8759765625
642,-0.1132812500,0.0021972656,0.8769531250
643,-0.1137695312,0.0017089844,0.8791503906
654,-0.1071777344,0.0024414062,0.8657226562
655,-0.1132812500,0.0153808594,0.8742675781
666,-0.1137695312,0.0034179688,0.8759765625
667,-0.1098632812,0.0029296875,0.8793945312
678,-0.1103515625,0.0026855469,0.8669433594
684,-0.1125488281,0.0056152344,0.8798828125
685,-0.1149902344,0.0090332031,0.8835449219
696,-0.1220703125,0.0048828125,0.8759765625
697,-0.1164550781,0.0048828125,0.8740234375
708,-0.1108398438,0.0041503906,0.8732910156
714,-0.1120605469,0.0083007812,0.8725585938
715,-0.1179199219,0.0039062500,0.8698730469
726,-0.1047363281,0.0078125000,0.8803710938
727,-0.1137695312,0.0087890625,0.8647460938
738,-0.1098632812,0.0021972656,0.8806152344
739,-0.1086425781,0.0041503906,0.8774414062
750,-0.1130371094,0.0046386719,0.8823242188
756,-0.1115722656,0.0083007812,0.8774414062
757,-0.1147460938,0.0043945312,0.8791503906
768,-0.1120605469,0.0031738281,0.8710937500
769,-0.1105957031,0.0026855469,0.8735351562
780,-0.1154785156,0.0041503906,0.8781738281
786,-0.1157226562,0.0043945312,0.8798828125
787,-0.1135253906,0.0048828125,0.8637695312
798,-0.1147460938,-0.0009765625,0.8664550781
799,-0.1064453125,0.0068359375,0.8720703125
810,-0.1013183594,0.0083007812,0.8740234375
811,-0.1140136719,0.0043945312,0.8784179688
822,-0.1193847656,0.0036621094,0.8793945312
828,-0.1181640625,0.0031738281,0.8759765625
829,-0.1074218750,0.0073242188,0.8723144531
840,-0.1154785156,0.0073242188,0.8781738281
841,-0.1032714844,0.0041503906,0.8847656250
852,-0.1069335938,0.0024414062,0.8830566406
858,-0.1132812500,0.0085449219,0.8769531250
859,-0.1074218750,0.0024414062,0.8652343750
870,-0.1130371094,0.0031738281,0.8740234375
871,-0.1152343750,0.0026855469,0.8732910156
882,-0.1083984375,0.0056152344,0.8803710938
883,-0.1118164062,0.0041503906,0.8815917969
894,-0.1147460938,0.0029296875,0.8796386719
900,-0.1052246094,0.0031738281,0.8784179688
901,-0.1108398438,0.0075683594,0.8686523438
912,-0.1108398438,0.0092773438,0.8740234375
913,-0.1123046875,0.0029296875,0.8793945312
924,-0.1127929688,0.0002441406,0.8789062500
930,-0.1120605469,0.0058593750,0.8737792969
931,-0.1088867188,-0.0004882812,0.8730468750
942,-0.1140136719,0.0026855469,0.8720703125
943,-0.1125488281,0.0029296875,0.8666992188
954,-0.1069335938,0.0061035156,0.8776855469
955,-0.1057128906,0.0065917969,0.8825683594
966,-0.1079101562,0.0029296875,0.8757324219
972,-0.1088867188,0.0039062500,0.8730468750
973,-0.1069335938,0.0041503906,0.8686523438
984,-0.1044921875,-0.0014648438,0.8742675781
985,-0.1159667969,0.0063476562,0.8666992188
996,-0.1228027344,-0.0043945312,0.8896484375
1002,-0.1247558594,-0.0043945312,0.8847656250
1003,-0.1093750000,-0.0053710938,0.8876953125
1014,-0.1005859375,0.0029296875,0.8771972656
1015,-0.0964355469,0.0097656250,0.8652343750
1026,-0.0957031250,0.0158691406,0.8686523438
1027,-0.1110839844,0.0134277344,0.8679199219
1038,-0.1242675781,0.0144042969,0.8688964844
1044,-0.1184082031,0.0029296875,0.8737792969
1045,-0.1125488281,0.0043945312,0.8762207031
1056,-0.1098632812,0.0029296875,0.8745117188
1057,-0.1113281250,0.0034179688,0.8828125000
1068,-0.1142578125,0.0036621094,0.8781738281
1074,-0.1093750000,0.0043945312,0.8803710938
1075,-0.1147460938,0.0031738281,0.8708496094
1086,-0.1162109375,0.0007324219,0.8693847656
1087,-0.1174316406,-0.0004882812,0.8754882812
1098,-0.1108398438,0.0092773438,0.8710937500
1104,-0.1083984375,0.0087890625,0.8703613281
1105,-0.1052246094,-0.0002441406,0.8710937500
1116,-0.1079101562,0.0048828125,0.8735351562
1117,-0.1179199219,0.0007324219,0.8635253906
1128,-0.1127929688,0.0039062500,0.8718261719
1134,-0.1059570312,0.0043945312,0.8769531250
1135,-0.1086425781,0.0058593750,0.8681640625
1146,-0.1093750000,0.0051269531,0.8737792969
1147,-0.1096191406,0.0036621094,0.8811035156
1158,-0.1079101562,0.0090332031,0.8752441406
1159,-0.1110839844,0.0036621094,0.8759765625
1170,-0.1064453125,0.0026855469,0.8713378906
1176,-0.1093750000,0.0090332031,0.8791503906
1177,-0.1132812500,0.0063476562,0.8774414062
1188,-0.1101074219,0.0031738281,0.8745117188
1189,-0.1079101562,0.0048828125,0.8767089844
1200,-0.1076660156,0.0009765625,0.8847656250
1201,-0.1115722656,0.0029296875,0.8757324219
1212,-0.1083984375,0.0051269531,0.8815917969
1218,-0.1132812500,0.0058593750,0.8764648438
1219,-0.1096191406,0.0092773438,0.8713378906
1230,-0.1118164062,0.0065917969,0.8813476562
1231,-0.1101074219,0.0021972656,0.8818359375
1242,-0.1081542969,0.0070800781,0.8762207031
1248,-0.1013183594,0.0051269531,0.8747558594
1249,-0.1062011719,0.0100097656,0.8767089844
1260,-0.1057128906,0.0036621094,0.8796386719
1261,-0.1110839844,0.0039062500,0.8793945312
1272,-0.1035156250,-0.0019531250,0.8779296875
1273,-0.1083984375,0.0021972656,0.8815917969
1284,-0.1086425781,0.0048828125,0.8745117188
1290,-0.1079101562,0.0021972656,0.8789062500
1291,-0.1166992188,0.0017089844,0.8835449219
1302,-0.1076660156,0.0061035156,0.8774414062
1303,-0.1132812500,0.0021972656,0.8676757812
1314,-0.1064453125,0.0024414062,0.8811035156
1320,-0.1064453125,0.0000000000,0.8781738281
1321,-0.1096191406,0.0092773438,0.8715820312
1332,-0.1079101562,0.0029296875,0.8752441406
1333,-0.1125488281,0.0061035156,0.8818359375
1344,-0.1145019531,0.0051269531,0.8754882812
1350,-0.1040039062,0.0034179688,0.8762207031
1351,-0.1064453125,0.0070800781,0.8737792969
1362,-0.1123046875,0.0007324219,0.8715820312
1363,-0.1088867188,0.0107421875,0.8747558594
1374,-0.1118164062,0.0012207031,0.8752441406
1375,-0.1108398438,0.0036621094,0.8728027344
1386,-0.1093750000,0.0000000000,0.8801269531
1392,-0.1118164062,0.0085449219,0.8676757812
1393,-0.1132812500,0.0075683594,0.8725585938
1404,-0.1174316406,0.0053710938,0.8784179688
1405,-0.1149902344,0.0021972656,0.8874511719
1416,-0.1120605469,0.0031738281,0.8806152344
1422,-0.1103515625,0.0036621094,0.8891601562
1423,-0.1218261719,0.0051269531,0.8969726562
1434,-0.1152343750,0.0058593750,0.8864746094
1435,-0.1179199219,0.0046386719,0.8820800781
1446,-0.1127929688,0.0068359375,0.8864746094
1452,-0.1118164062,0.0056152344,0.8957519531
1453,-0.1127929688,0.0053710938,0.8835449219
1464,-0.1105957031,0.0102539062,0.8862304688
1465,-0.1096191406,0.0068359375,0.8771972656
1476,-0.1154785156,0.0041503906,0.8876953125
1477,-0.1054687500,0.0053710938,0.8862304688
1488,-0.1140136719,0.0085449219,0.8859863281
1494,-0.1035156250,-0.0019531250,0.8771972656
1495,-0.1079101562,-0.0017089844,0.8833007812
1506,-0.1127929688,0.0002441406,0.8854980469
1507,-0.1169433594,-0.0036621094,0.8894042969
1518,-0.1132812500,-0.0024414062,0.8894042969
1524,-0.1186523438,-0.0034179688,0.8813476562
1525,-0.1123046875,-0.0097656250,0.8815917969
1536,-0.1103515625,-0.0036621094,0.8835449219
1537,-0.1115722656,-0.0036621094,0.8835449219
1548,-0.1123046875,-0.0034179688,0.8789062500
1549,-0.1071777344,-0.0019531250,0.8735351562
1560,-0.1069335938,0.0063476562,0.8774414062
1566,-0.1103515625,0.0007324219,0.8825683594
1567,-0.1052246094,0.0048828125,0.8898925781
1578,-0.0986328125,0.0051269531,0.8869628906
1579,-0.1079101562,0.0058593750,0.8959960938
1590,-0.1027832031,0.0112304688,0.8803710938
1596,-0.1076660156,0.0065917969,0.8828125000
1597,-0.1035156250,-0.0009765625,0.8881835938
1608,-0.0983886719,0.0061035156,0.8820800781
1609,-0.0932617188,0.0073242188,0.8674316406
1620,-0.0915527344,0.0012207031,0.8669433594
1626,-0.0935058594,0.0002441406,0.8642578125
1627,-0.0849609375,-0.0012207031,0.8769531250
1638,-0.0915527344,-0.0029296875,0.8786621094
1639,-0.0966796875,-0.0058593750,0.8657226562
1650,-0.0930175781,0.0029296875,0.8674316406
1651,-0.0964355469,-0.0034179688,0.8698730469
1662,-0.0971679688,-0.0061035156,0.8710937500
1668,-0.0900878906,0.0046386719,0.8754882812
1669,-0.0913085938,0.0051269531,0.8767089844
1680,-0.0971679688,-0.0004882812,0.8762207031
1681,-0.0944824219,0.0051269531,0.8828125000
1692,-0.0947265625,0.0043945312,0.8774414062
1698,-0.0903320312,0.0046386719,0.8840332031
1699,-0.0920410156,0.0029296875,0.8847656250
1710,-0.0874023438,0.0053710938,0.8847656250
1711,-0.0830078125,0.0051269531,0.8803710938
1722,-0.0883789062,0.0146484375,0.8906250000
1723,-0.0847167969,0.0039062500,0.8935546875
1734,-0.0861816406,0.0058593750,0.9055175781
1740,-0.0849609375,0.0112304688,0.8952636719
1741,-0.0935058594,0.0061035156,0.8989257812
1752,-0.0937500000,0.0053710938,0.8981933594
1753,-0.0952148438,0.0141601562,0.9013671875
1764,-0.0993652344,0.0083007812,0.9028320312
1770,-0.0961914062,0.0126953125,0.8945312500
1771,-0.1103515625,0.0029296875,0.9011230469
1782,-0.1054687500,0.0114746094,0.8964843750
1783,-0.1010742188,0.0070800781,0.8972167969
1794,-0.1022949219,0.0007324219,0.8906250000
1800,-0.0961914062,0.0048828125,0.8896484375
1801,-0.0974121094,0.0012207031,0.8986816406
1812,-0.1020507812,0.0000000000,0.8955078125
1813,-0.0949707031,0.0019531250,0.8999023438
1824,-0.0878906250,0.0012207031,0.8969726562
1830,-0.0861816406,0.0002441406,0.8962402344
1831,-0.0878906250,-0.0036621094,0.9003906250
1842,-0.0805664062,0.0021972656,0.8996582031
1843,-0.0856933594,0.0048828125,0.9035644531
1854,-0.0805664062,0.0053710938,0.9008789062
1860,-0.0871582031,0.0085449219,0.9042968750
1861,-0.0842285156,0.0107421875,0.9160156250
1872,-0.0871582031,0.0041503906,0.9189453125
1873,-0.0781250000,0.0043945312,0.9101562500
1884,-0.0734863281,-0.0083007812,0.9201660156
1890,-0.0822753906,-0.0056152344,0.9331054688
1891,-0.0712890625,-0.0078125000,0.9284667969
1902,-0.0791015625,-0.0109863281,0.9340820312
1903,-0.0717773438,-0.0095214844,0.9353027344
1914,-0.0859375000,-0.0056152344,0.9416503906
1920,-0.0729980469,0.0000000000,0.9340820312
1921,-0.0803222656,-0.0048828125,0.9494628906
1932,-0.0769042969,-0.0021972656,0.9438476562
1933,-0.0717773438,-0.0065917969,0.9392089844
1944,-0.0700683594,-0.0058593750,0.9267578125
1945,-0.0695800781,-0.0053710938,0.9323730469
1956,-0.0644531250,-0.0078125000,0.9191894531
1962,-0.0590820312,-0.0097656250,0.9208984375
1963,-0.0588378906,-0.0056152344,0.9233398438
1974,-0.0546875000,-0.0114746094,0.9138183594
1975,-0.0473632812,-0.0058593750,0.9028320312
1986,-0.0393066406,-0.0031738281,0.9157714844
1992,-0.0437011719,-0.0019531250,0.9055175781
1993,-0.0319824219,0.0136718750,0.9082031250
2004,-0.0341796875,0.0129394531,0.9184570312
2005,-0.0275878906,0.0144042969,0.9125976562
2016,-0.0163574219,0.0278320312,0.9138183594
2022,-0.0097656250,0.0239257812,0.9018554688
2023,-0.0083007812,0.0222167969,0.9228515625
2034,-0.0007324219,0.0295410156,0.9138183594
2035,-0.0017089844,0.0285644531,0.9196777344
2046,-0.0026855469,0.0302734375,0.9204101562
2052,-0.0026855469,0.0295410156,0.9123535156
2053,-0.0083007812,0.0336914062,0.9111328125
2064,-0.0058593750,0.0317382812,0.9228515625
2065,-0.0014648438,0.0302734375,0.9128417969
2076,0.0046386719,0.0231933594,0.9072265625
2077,0.0031738281,0.0214843750,0.9064941406
2088,0.0100097656,0.0207519531,0.9116210938
2094,0.0124511719,0.0227050781,0.9208984375
2095,0.0092773438,0.0190429688,0.9230957031
2106,0.0148925781,0.0141601562,0.9150390625
2107,0.0144042969,0.0144042969,0.9135742188
2118,0.0131835938,0.0131835938,0.9184570312
2124,0.0173339844,0.0078125000,0.9167480469
