Sample,X,Y,Z
145,0.3920898438,0.0275878906,0.8156738281
146,0.4055175781,0.0229492188,0.8234863281
147,0.3994140625,0.0297851562,0.8129882812
148,0.3942871094,0.0292968750,0.8168945312
149,0.3989257812,0.0244140625,0.8144531250
150,0.4030761719,0.0302734375,0.8173828125
151,0.3928222656,0.0319824219,0.8139648438
152,0.3984375000,0.0310058594,0.8146972656
153,0.4067382812,0.0327148438,0.8120117188
154,0.4030761719,0.0310058594,0.8193359375
155,0.3989257812,0.0258789062,0.8244628906
156,0.3994140625,0.0266113281,0.8183593750
157,0.3950195312,0.0253906250,0.8264160156
158,0.3952636719,0.0205078125,0.8225097656
159,0.3974609375,0.0292968750,0.8212890625
160,0.3964843750,0.0251464844,0.8176269531
161,0.3986816406,0.0246582031,0.8176269531
162,0.3996582031,0.0170898438,0.8161621094
163,0.3969726562,0.0178222656,0.8205566406
164,0.3945312500,0.0307617188,0.8237304688
165,0.4020996094,0.0234375000,0.8217773438
166,0.4011230469,0.0212402344,0.8210449219
167,0.4038085938,0.0205078125,0.8181152344
168,0.3962402344,0.0253906250,0.8186035156
169,0.3903808594,0.0307617188,0.8303222656
170,0.4018554688,0.0268554688,0.8215332031
171,0.4016113281,0.0261230469,0.8229980469
172,0.3981933594,0.0222167969,0.8127441406
173,0.3937988281,0.0253906250,0.8161621094
174,0.3994140625,0.0214843750,0.8227539062
175,0.4030761719,0.0236816406,0.8117675781
176,0.4042968750,0.0200195312,0.8193359375
177,0.3989257812,0.0209960938,0.8200683594
178,0.3986816406,0.0190429688,0.8125000000
179,0.4006347656,0.0168457031,0.8154296875
180,0.4013671875,0.0200195312,0.8122558594
181,0.4040527344,0.0263671875,0.8159179688
182,0.4011230469,0.0246582031,0.8176269531
183,0.4025878906,0.0224609375,0.8073730469
184,0.4028320312,0.0236816406,0.8232421875
185,0.4013671875,0.0227050781,0.8137207031
186,0.4035644531,0.0241699219,0.8015136719
187,0.4035644531,0.0229492188,0.8178710938
188,0.4020996094,0.0253906250,0.8144531250
189,0.3986816406,0.0302734375,0.8085937500
190,0.4006347656,0.0324707031,0.8061523438
191,0.4091796875,0.0297851562,0.8154296875
192,0.4030761719,0.0270996094,0.8012695312
193,0.4045410156,0.0290527344,0.8132324219
194,0.4038085938,0.0329589844,0.8125000000
195,0.4038085938,0.0280761719,0.8015136719
196,0.4074707031,0.0358886719,0.8017578125
197,0.4052734375,0.0305175781,0.8117675781
198,0.4040527344,0.0288085938,0.8139648438
199,0.3989257812,0.0251464844,0.8122558594
200,0.4020996094,0.0209960938,0.8037109375
201,0.4091796875,0.0234375000,0.8083496094
202,0.4045410156,0.0273437500,0.7983398438
203,0.4084472656,0.0288085938,0.8110351562
204,0.4035644531,0.0227050781,0.8041992188
